	Cycling	Treg	Naïve/Memory	Effector
PDE4DIP	0.0004742116452209	0.0008265362984159	0.0014601729473933	0.0005766340997404
OTUD7B	0.000372507151419	0.0011003909260134	0.000462004770875	0.0004459639213629
ANXA9	0.0001549823730578	0.0002299158881802	0.0	0.0007155529906972
GABPB2	0.0005568318141239	0.0002281119139381	0.00102000070476	0.0002112293447355
S100A9	0.0002887117646776	0.0003194660004556	0.0004020973001303	0.000164523268973
S100A8	0.0	0.0003596955959512	0.000344578153915	0.0002653439658361
S100A4	0.0014366084116832	0.0030591094709999	0.0017124982335425	8.233873216148617e-06
RAB13	9.653355553769258e-05	0.0003119760423382	0.0001880628517304	3.282903566303509e-05
IL6R	0.0	0.0011235367338443	0.0012879105151725	0.0
CKS1B	0.0038360765561375	0.0	3.266424704893367e-05	0.0003886938269556
MUC1	0.0	7.134399136557662e-05	0.0002900760169464	0.0001246791572673
LMNA	0.0001954481708471	0.0001178895054075	0.0016565848176286	0.0001325396686404
TMEM79	3.247873337877529e-05	0.0002526512473925	0.0001868877796159	5.669321414682423e-05
NTRK1	0.0	0.000517139772827	5.512004668390001e-05	0.0002123242337849
FCRL3	0.0	0.0004640991441247	0.0003889366504048	0.0011142608799852
FCRL1	0.0002283230805327	0.0001538521875473	8.051084048829196e-05	7.108860496783958e-05
FCRL6	0.0010081401132949	0.0	0.000187778163687	0.0018806467365364
CFAP45	0.0	0.0	0.0002181159781184	0.0001042662322487
ATP1A2	0.0	3.888902723430932e-05	0.0001277869453297	0.0001494040285889
CD84	0.0002829686152038	0.0011966460577655	0.0017545959668894	2.0982224860260223e-05
SLAMF1	0.0	0.0038831976337508	0.0005353325286644	0.0
SLAMF7	0.0005449133626483	1.015896144316877e-05	0.0008773969609165	0.0018191818865935
FCER1G	0.0	0.0	0.0	0.0037276158904796
HSPA6	0.0	0.000417105952481	0.0002384789754843	0.0002114044991202
FCGR3A	0.0002909249864592	0.0	0.0	0.0028952949200887
FCGR3B	0.0	2.216343171993778e-05	0.0001520611593992	0.0003308367071031
FCGR2B	5.435113928623514e-05	0.0001508984910709	0.0001571222261833	0.0003392481445605
SH2D1B	0.0	0.0	0.0	0.0036906548943427
DDR2	0.0	3.6922263316890695e-05	0.0001547738376229	8.26364532310956e-05
PBX1	0.0	0.0001013947103221	0.0001804109277612	0.000206848697743
POU2F1	0.0001602747696282	0.0004545106001254	0.0007952400643877	0.0006469560289034
TBX19	0.0008412234510519	0.0001776855223234	0.0001660997969718	1.784822860135454e-05
XCL2	0.0007806132866386	0.0	6.427812557677547e-05	0.0026798662940725
XCL1	0.0002722012719552	0.0	9.1210720165123e-05	0.0028434968665692
ATP1B1	0.0001928896088149	0.0008988236842571	0.0005354706686694	0.0006851893328214
Z99572.1	0.0007002742209564	6.800605003609221e-05	0.0001075286638683	0.000181480747354
F5	0.0	0.0030428123951299	7.837681031184254e-05	0.0
SELL	4.5090880809955514e-05	0.0004240409607773	0.0018608262698653	0.0
DNM3	0.0	0.000545059985905	0.0001251347440055	1.6681017577549346e-05
FASLG	0.0006131825432374	0.0002721683334951	0.0002263996955169	0.0017195505881512
TNFSF4	0.0001642784132246	0.0002775702663958	0.0003248181813929	0.00038627972471
ZBTB37	0.0	0.0004996881119378	0.0007450019453288	0.0005030094265715
RALGPS2	0.0	0.0001208248050769	0.0004076597636	0.0003728422816559
ABL2	3.572209905177278e-05	9.93313881453082e-05	0.000916350381347	0.000266800496136
KIAA1614	0.0	0.0002066635566278	9.192586874436669e-05	0.0001111612475761
IER5	0.0002680763136701	0.0009707762391336	0.0014751386582997	0.0010056757885231
GLUL	0.0008333280091258	0.0	0.0013322233916239	0.0011676590467001
RNASEL	6.600204592328722e-05	0.0005729557779137	0.0006443254058356	0.0001830833636812
RGS16	0.0001336516965134	0.0003642649244778	0.0005469513688459	0.0010539058902737
AL355999.1	9.81723366412065e-05	0.0	7.315735312943259e-05	0.0001987000746649
C1orf21	0.0005308386166518	0.0	0.0001611941916831	0.0020427442192498
NIBAN1	0.0008907253315453	0.0021777473369413	0.0018268454783992	0.0005015296698066
HMCN1	0.0	0.0008465522447061	0.0	3.8793397327847774e-05
PTGS2	0.0	3.582419495215641e-05	8.897268842380254e-05	0.0006925898615743
RGS18	0.0	0.0001401375888263	0.0001327598833992	0.0001233109856027
RGS1	0.0007565086764465	0.0027832412499908	0.0017708972475476	0.0009037445247661
RGS13	0.0	0.0001937752186097	7.677213630373877e-05	0.0008580818671901
RGS2	0.0005542778014493	0.0004729169911905	0.0015383489000345	0.0012151430585162
B3GALT2	0.0	0.0007725426067532	0.000213105663997	0.0
CFH	0.0	0.0	0.0007306812235134	0.0001243078061361
ASPM	0.0023653135693267	0.000252152085512	4.646981909378049e-05	0.0
KIF14	0.002407249329095	4.651688203304954e-05	1.0719895298558845e-05	0.0
CAMSAP2	7.274034228766005e-05	7.039118138043266e-05	0.0004957549565654	0.0
IPO9	0.0008588036942798	0.0006717380095008	0.0008968984081833	0.0006869239373847
PTPN7	0.0006887207127363	0.0025607619796535	0.0009189626466615	0.0011954503039309
LGR6	0.0004573077920719	0.0	0.0002897545283125	0.000717174314687
PPP1R12B	8.4910578815946e-05	0.0012244989171578	0.0004595144977379	0.0002701607137393
PPFIA4	0.0	0.0	0.0002436057645972	0.0
CHI3L1	0.0001086078492995	0.0006868869118955	0.0006206872962044	6.424277053303144e-05
PLEKHA6	0.0	0.0002756791089891	5.57654000696932e-05	0.0
NFASC	0.0001774927319918	0.0001469621751093	0.0002205102450049	5.9207487938139096e-05
DSTYK	5.554717007291116e-05	0.0004240864347671	0.0008828309151874	0.0003459264903776
DYRK3	0.0001319299548261	7.331515110532381e-05	0.000494881901244	4.686938361896333e-05
IL10	7.407350985252041e-05	0.00066302986661	0.0003633987184836	0.0
PFKFB2	0.0	0.0	0.0002454742071397	0.0004681502676063
CD55	0.0001647626179174	0.0	0.0018727312428987	0.0008937410241589
CR1	0.0	0.0	0.0003145466086484	0.0
MIR29B2CHG	0.0	0.0002386936030644	0.0007073017367257	0.0001617014550146
G0S2	0.0	0.0002561989741573	0.0001328860226841	7.111265159966315e-05
DTL	0.0049613890303549	0.0	0.0	0.0
ATF3	0.0003788319408132	3.763910934773214e-05	0.0011758201850545	0.0003875901464998
FAM71A	0.0	0.0	0.0002072753768266	0.0001198574602187
PTPN14	0.0003028220256112	0.0002082588636285	0.0	0.0008659076378574
CENPF	0.0025305181043144	0.0005641111439206	0.0003247350134027	0.0001729600289971
DISP1	0.0001675232690578	0.0003855994944036	0.0001371453423497	4.305232518127822e-05
TLR5	0.0	0.0	0.0001149962206859	0.0
TP53BP2	0.0004410224644015	0.0002454676385689	0.0014129779748539	0.0002486662906816
OBSCN	0.0	0.0004090485770935	0.0009450604012955	0.0001004078963458
RHOU	0.0003258944952648	0.0001704248493119	0.0004568666430311	0.0
AL162595.1	0.0	8.691384659394204e-05	0.0001559371372405	9.46925329427886e-05
AGT	0.0	0.0001011103088726	4.478810255662084e-05	0.0002399785668814
SIPA1L2	0.0	1.5925886986347137e-05	0.0004158615013757	2.5227683758908025e-05
LINC01132	0.0	0.0001145347087842	0.0001157124651157	0.0
GNG4	0.0	0.0002422095904959	8.053111435656094e-05	7.14536134373018e-05
LYST	0.0002667886269632	0.0015055683388727	0.0010609761827289	0.0013203008262786
HEATR1	0.0006860623753641	0.0004260613724927	0.0010172356860053	0.0005688062315414
MTR	0.0002350593248943	0.0006112043622816	0.0013664190946292	0.0005682067678886
RYR2	0.0001595863859262	0.0001450430201633	9.221602348851095e-05	0.0001858473658632
CHRM3-AS2	0.0	0.0001449359433024	0.0008381968963026	0.0
GREM2	0.0	0.0	0.0004047010914769	0.0
CHML	0.000310044825614	0.000299346554278	0.0005727843206296	0.0002827038268691
EXO1	0.0027669966019819	0.0003463717975846	0.0	0.0
CEP170	0.0001415272029943	0.0005267388718273	0.0007589777248437	0.0002219736120411
NLRP3	4.811513975348156e-05	0.0	0.0009409440004718	1.2179179477196688e-06
SNTG2	0.0	0.0	0.0002627033267776	0.0
LINC00487	0.0	5.7872116213251895e-06	0.0001204047473955	0.0
CMPK2	0.0004344235140102	0.0007073064312765	0.0005088957791848	0.0002468791671832
RSAD2	0.0002039439213886	0.0006135177092752	0.0007302546828049	0.0001104347379584
LINC01871	0.0005819644183449	0.0	0.0008750050487345	0.0010254162607452
ID2	0.0005592752388274	0.0002225780134065	0.0019998828614676	0.0025057178880293
ASAP2	0.0001697013706685	5.0491257941732036e-08	2.0329675262993113e-05	0.0003791275184409
RRM2	0.0058020033441165	0.0	0.0	0.0
ODC1-DT	4.3787645588044055e-05	3.736229719409009e-05	0.0002267438450112	2.453714840730175e-05
ROCK2	0.0005565204560856	0.0006756728843621	0.0009849223552777	0.0006648392971473
